"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_012 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de naissance (rico:birthDate)","Date de décès (rico:deathDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_012-d-dv4qwgdab--1pisbbt9bomgs","d-dv4qwgdab--1pisbbt9bomgs","Person","Labrouste, Léon (1846-1907)",,"1846-02-03","1907-05-21","Né le 02/03/1846 à Paris. Décédé le 21/05/1907. Architecte diocésain. A œuvré à la restauration des cathédrales d'Aix-en-Provence, Nice, Saint-Claude.","0000000409229418","Q26252651",,,"https://data.bnf.fr/ark:/12148/cb10359723g#about"
"agent/FRAN_RI_012-d699mu60ap9-miob6l3zsm5h","d699mu60ap9-miob6l3zsm5h","Person","La Bruyère, Jean de (1645-1696)",,,,,,,,,
"agent/FRAN_RI_012-d699mu429j6-19ji2o0zej90r","d699mu429j6-19ji2o0zej90r","Person","La Châtre, Louis Charles de (1695-1734)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4l4y6--1c2sgi2ku3zvp","d699mu4l4y6--1c2sgi2ku3zvp","Person","La Châtre, Marie Jeanne Romaine de (....-1743)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5taqr--1s9gav8huaq5o","d699mu5taqr--1s9gav8huaq5o","Person","La Condamine, Charles Marie de (1701-1774)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5iyco--9juay2gm72l0","d699mu5iyco--9juay2gm72l0","Person","Lacornée, Jacques (1779-1856)",,,,,,,,,
"agent/FRAN_RI_012-d699mu17oio--1luz7pkdu79u8","d699mu17oio--1luz7pkdu79u8","Person","La Faye, Jean François Leriget de (1674-1731)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz97i4--xnomfdr70ba9","d699mtz97i4--xnomfdr70ba9","Person","La Fayette, François de (1616-1683)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4t65a--1fix2baervd4g","d699mu4t65a--1fix2baervd4g","Person","La Fayette, Marie-Madeleine Pioche de La Vergne (1634-1693 , comtesse de)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzq18f--1lz13ho8s4t3g","d699mtzq18f--1lz13ho8s4t3g","Person","La Feuillade, Louis d'Aubusson de (1673-1725)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5t18h-1h5tvxflnudp2","d699mu5t18h-1h5tvxflnudp2","Person","Lafont, Antoine (....-1834)",,,,,,,,,
"agent/FRAN_RI_012-d699mu347ew--172dtkk90hvia","d699mu347ew--172dtkk90hvia","Person","Lafontaine, Oskar (1943-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3fwxg-42yctkno0exo","d699mu3fwxg-42yctkno0exo","Person","La Force, Armand Nompar de Caumont (158.-1675 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu592lk--1901izxhq7hih","d699mu592lk--1901izxhq7hih","Person","La Force, François Philibert Bertrand Nompar de Caumont (1772-1854 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4e111--lce7eowe0bnt","d699mu4e111--lce7eowe0bnt","Person","La Force, Jacques Nompar de Caumont (1632-1699 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3epqx--52jvx1tx75p9","d699mu3epqx--52jvx1tx75p9","Person","Lagarde, Christine (1956-....)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3hd3f-1e4y7jzdivdqg","d3m0bn3hd3f-1e4y7jzdivdqg","Person","Lagniet, Jacques (16..-16..?)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwgo84--mtrqm30n6oui","d-dv4qwgo84--mtrqm30n6oui","Person","Laîné, Charles (1816-1863)",,"1816-01-01","1863-01-01","Né en 1816 à La Rochelle. Décédé en 1863. Architecte diocésain. A œuvré à la restauration de la cathédrale de Cahors.",,,,,
"agent/FRAN_RI_012-d-s2z15u4i12--ct1p91if3v59","d-s2z15u4i12--ct1p91if3v59","Person","Lainé, Henri Adam",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwgsr3--1cfdmf0ls6dn","d-dv4qwgsr3--1cfdmf0ls6dn","Person","Laisné, Charles Jean (1819-1891)",,"1819-03-01","1891-01-14","Né le 03/01/1819 à Fontenay-aux-Roses. Décédé le 14/01/1891 à Fontenay-aux-Roses. Architecte diocésain. A œuvré à la restauration des cathédrales d'Auch, Gap, Sens.","0000000034764130","Q2959551",,,
"agent/FRAN_RI_012-d699mu03yru-pjo4o5nmn2ia","d699mu03yru-pjo4o5nmn2ia","Person","Lalonde, Brice (1946-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu628tm--kpzo3vd3eclr","d699mu628tm--kpzo3vd3eclr","Person","La Marck, Henri Robert de (1575-1652)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0sswq-7v46zirjpgwt","d699mu0sswq-7v46zirjpgwt","Person","Lamarck, Jean-Baptiste de Monet de (1744-1829)",,,,,,,,,
"agent/FRAN_RI_012-d-4ys3ma2s3jm--pef0t92mvf6x","d-4ys3ma2s3jm--pef0t92mvf6x","Person","Lamartine, Alphonse de (1790-1869)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwgz5y-ot1sukhs64p0","d-dv4qwgz5y-ot1sukhs64p0","Person","Lambert, Alexandre Antoine (1836-....)",,"1836-01-23",,"Né le 23/01/1836 à Marsac. Architecte et inspecteur des édifices diocésains. A œuvré à la restauration de la cathédrale de Périgueux.",,"Q21591251",,,
"agent/FRAN_RI_012-d-dv4qwh42i--sr30fl45gxms","d-dv4qwh42i--sr30fl45gxms","Person","Lambert, Marcel (1847-1928)",,"1847-12-05","1928-01-01","Né le 12/05/1847 à Paris. Décédé en 1928. Architecte diocésain et des monuments historiques. A œuvré à la restauration de la cathédrale de Tours.",,"Q3289095",,,"https://data.bnf.fr/ark:/12148/cb15368292k#about"
"agent/FRAN_RI_012-d-dv4qwh8lg--ptay1htryb1c","d-dv4qwh8lg--ptay1htryb1c","Person","Lambert, Nicolas Eugène (1819-1875)",,"1819-12-06","1875-10-07","Né le 12/06/1819 à Chaumont. Décédé en 10/07/1875. Architecte diocésain. A œuvré à la restauration de la cathédrale de Laval.",,"Q22248714","https://fr.wikipedia.org/wiki/Nicolas_Lambert_%28architecte%29",,
"agent/FRAN_RI_012-d699mu0cff6--1my6puf4mc2ij","d699mu0cff6--1my6puf4mc2ij","Person","La Meilleraye, Charles de La Porte (1602-1664 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzpuhy-5lpvyjyi568","d699mtzpuhy-5lpvyjyi568","Person","Lamoignon, Catherine Louise de (1715-1794)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1q437-lsslv8b2nyvj","d699mu1q437-lsslv8b2nyvj","Person","Lamoignon, Chrétien François de (1735-1789)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4fal5--aipciae1tqn8","d699mu4fal5--aipciae1tqn8","Person","Lamoignon, Guillaume de (1683-1772)",,,,,,,,"050080",
"agent/FRAN_RI_012-d699mu1wb4l--hbqfpud2qqa0","d699mu1wb4l--hbqfpud2qqa0","Person","Lamoignon, Marie Constance (1774-18..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0o9am-1d74cfbjod1sk","d699mu0o9am-1d74cfbjod1sk","Person","Lamoignon, Marie Louise de (1719-1790)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4opaz--whftx7fh8fdd","d699mu4opaz--whftx7fh8fdd","Person","Lamontagne, François (....-1844)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6773f-1k82qoyem7op9","d699mu6773f-1k82qoyem7op9","Person","Lamontagne, Jean Léon (....-1843)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3r9rn-kw3tbzqmf3md","d699mu3r9rn-kw3tbzqmf3md","Person","La Mothe-Houdancourt, Charlotte de (1654-1744)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6jyn3-1lcs2516j95od","d699mu6jyn3-1lcs2516j95od","Person","La Mothe Le Vayer, François de (1588-1672)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2xb0r--t8kqnyqljepf","d699mu2xb0r--t8kqnyqljepf","Person","La Mothe Le Vayer, François de (1629-1664)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwhi0z-7rrbpi85o3fl","d-dv4qwhi0z-7rrbpi85o3fl","Person","Lance, Adolphe (1813-1874)",,"1813-03-08","1874-12-24","Né le 03/08/1813 à Le Molay-Littry. Décédé le 24/12/1874 à Paris. Architecte diocésain. A œuvré à la restauration de la cathédrale de Sens.","0000000121366181","Q22211881","https://fr.wikipedia.org/wiki/Adolphe_Lance",,"https://data.bnf.fr/ark:/12148/cb129525973#about"
"agent/FRAN_RI_012-d699mu2tdzk--1nz45h5yn5cso","d699mu2tdzk--1nz45h5yn5cso","Person","Lang, Jack (1939-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4dn5v--j9nnl5gdekvs","d699mu4dn5v--j9nnl5gdekvs","Person","Langeac, Auguste Louis Joseph Fidèle Amand de Lespinasse (1748-18.. , comte de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu09v46--mw1j28g0s5hb","d699mu09v46--mw1j28g0s5hb","Person","Langevin, Paul (1872-1946)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwho29-3g2ys8cz47jo","d-dv4qwho29-3g2ys8cz47jo","Person","Langlois, Charles (1811-1896)",,"1811-01-01","1896-01-09","Né le 01/01/1811 à Paris. Décédé en 01/09/1896. Architecte diocésain. A œuvré à la restauration de la cathédrale de Rennes.",,"Q18599486",,,
"agent/FRAN_RI_012-d3m0bn2xa4a-1471jyw4ayqw9","d3m0bn2xa4a-1471jyw4ayqw9","Person","Langlois, Nicolas (1640-1703)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1xo92-5p22p80kvoi4","d699mu1xo92-5p22p80kvoi4","Person","Languedoc de Noailles, Charles Arthur Tristan (1771-1834)",,,,,,,,,
"agent/FRAN_RI_012-d699mu54wum-tom5m3merqvy","d699mu54wum-tom5m3merqvy","Person","Lannoy, Catherine de (....-1651)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwhu3j-1czeljyzemwaq","d-dv4qwhu3j-1czeljyzemwaq","Person","Lantouin, Esprit (1787-1856)",,"1787-01-01","1856-01-01","Né le 01/01/1787 à Aix-en-Provence. Décédé en 1856. Inspecteur des travaux des édifices diocésains. Architecte du département du Var. A œuvré à la restauration de la cathédrale de Fréjus.",,"Q26202612",,,
"agent/FRAN_RI_012-d3m0bn4ii3t-6t13bh8xyt9t","d3m0bn4ii3t-6t13bh8xyt9t","Person","La Pérouse, Jean-François de Galaup (1741-1788 , comte de)","La Pérouse (1741-1788) | Lapérouse (1741-1788)",,,,,,,,
"agent/FRAN_RI_012-d699mu5elv9-qkuiln3j95bn","d699mu5elv9-qkuiln3j95bn","Person","Laplace, Charles Emile Pierre Joseph (1789-1874 , marquis de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4vg5h--1puqzwz7a6gvp","d699mu4vg5h--1puqzwz7a6gvp","Person","Laplace, Pierre Simon de (1749-1827)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3t27c-dv6g768018kv","d3m0bn3t27c-dv6g768018kv","Person","La Pointe, François de (16..-16..)","Lépine, François de (16..-16..)",,,,,,,,
"agent/FRAN_RI_012-d699mu5nz02--gv7u9zxektyi","d699mu5nz02--gv7u9zxektyi","Person","La Poix de Fréminville, Claude Noël de (1757-1816)",,,,,,,,,
"agent/FRAN_RI_012-d-76ajk6ooi--1pmrdlahi3cvk","d-76ajk6ooi--1pmrdlahi3cvk","Person","Larchey, Lorédan (1831-1902)",,"1831-01-26","1902-04-12","Lexicographe. - Archiviste. - Conservateur à la Bibliothèque de l'Arsenal (1880-189. ?)",,,,,
"agent/FRAN_RI_012-d-a7rl6caz9-in2aqu8djrpt","d-a7rl6caz9-in2aqu8djrpt","Person","Laridon-Duplessis, Anne Lucile Philippe (1770-1794)","Desmoulins, Lucile","1770-01-18","1794-04-13","Anne Lucile Philippe Laridon-Duplessis, fille de Claude Etienne Laridon-Duplessis, premier commis du Contrôle général des finances, épouse le 29 décembre 1790 Camille Desmoulins.",,,,,
"agent/FRAN_RI_012-d699mu388eq-53ietseaousl","d699mu388eq-53ietseaousl","Person","La Rochefoucauld, François de (1613-1680)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4fzjn--whd6w75a8ppy","d699mu4fzjn--whd6w75a8ppy","Person","La Rochefoucauld de Roye, Eléonore Christine de (1681-1708)",,,,,,,,,
"agent/FRAN_RI_012-d699mu65t6f--1o7fg07zk5yw9","d699mu65t6f--1o7fg07zk5yw9","Person","La Rochelambert, Gabriel René François de (1755-18..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu320z2-1bh3ne23dnzl3","d699mu320z2-1bh3ne23dnzl3","Person","La Rocque, François de (1885-1946)","Colonel de La Rocque (1885-1946)",,,,,,,"051336",
"agent/FRAN_RI_012-d-cghomct02--on5h376qywml","d-cghomct02--on5h376qywml","Person","Larombière, Léobon Valéry Léon Jupile (1813-1893)",,"1813-12-23","1893-06-13","Homme de loi. Membre de l'Institut, ancien Premier Président de la Cour d'appel de Paris, Président à la Cour de cassation.",,,,,"https://data.bnf.fr/ark:/12148/cb107054580#about"
"agent/FRAN_RI_012-d699mu30byr--1gepc0q3nc47u","d699mu30byr--1gepc0q3nc47u","Person","Laroque, Pierre (1907-1997)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0cw26--c5moqy67zxh1","d699mu0cw26--c5moqy67zxh1","Person","La Roze, Claude (1640 ?-1686)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwi4ns--nn98s27fnbyh","d-dv4qwi4ns--nn98s27fnbyh","Person","Lassus, Jean Baptiste Antoine (1807-1857)",,"1807-03-19","1857-07-15","Né le 19/03/1807 à Paris. Décédé le 15/07/1857 à Vichy. Architecte diocésain. A œuvré à la restauration des cathédrales de Chartres, Le Mans, Moulins, Paris, Bordeaux, Poitiers, Tulle.","0000000121379708","Q3163757","https://fr.wikipedia.org/wiki/Jean-Baptiste-Antoine_Lassus",,"https://data.bnf.fr/ark:/12148/cb11911220g#about"
"agent/FRAN_RI_012-d699mu1lwcx--1vywcgq2ndsxt","d699mu1lwcx--1vywcgq2ndsxt","Person","La Suze, Louis de Champagne (15..-1636 , comte de)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2rcav--h7d3iavrw0ad","d699mu2rcav--h7d3iavrw0ad","Person","La Touche-Tréville, Louis René Madeleine Le Vassor (1745-1804 , comte de)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwiabh-v8sapjqubyf6","d-dv4qwiabh-v8sapjqubyf6","Person","Latour, Jean Jacques (1812-1868)",,"1812-05-08","1868-09-14","Né le 05/08/1812 à Tarbes. Décédé le 14/09/1868 à Tarbes. Inspecteur des édifices diocésains. A œuvré à la restauration de la cathédrale de Tarbes.",,,,,
"agent/FRAN_RI_012-d699mu2hwsi-9f7seclcyd4j","d699mu2hwsi-9f7seclcyd4j","Person","La Tour d'Auvergne, Anne Marie Louise de (1722-1739)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzzfy9-syw7rl15zz8e","d699mtzzfy9-syw7rl15zz8e","Person","La Tour d'Auvergne, Henri Oswald de (1671-1747)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6kwpm--1snnj57869pdk","d699mu6kwpm--1snnj57869pdk","Person","Latour de Foissac, François Marie Louis Victor (1784-1851)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzzu7o-1tvqyd3u8wn6s","d699mtzzu7o-1tvqyd3u8wn6s","Person","La Trémoille, Charles Bretagne Marie Joseph de (1764-1839)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4qi9x-na637oafniol","d699mu4qi9x-na637oafniol","Person","La Trémoille, Louis de (1626-1686)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3xuxc-1i79x829xukl7","d3m0bn3xuxc-1i79x829xukl7","Person","Lattré, Jean (170.?-178.?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4law3--4oawd5tmavry","d699mu4law3--4oawd5tmavry","Person","Lattre de Tassigny, Jean de (1889-1952)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwiim9--1gdcopghtnhjg","d-dv4qwiim9--1gdcopghtnhjg","Person","Laval, Eugène Jean Baptiste Gabriel (1818-1869)",,"1818-02-23","1869-02-21","Né le 23/02/1818 à Villefranche-sur-Saône. Décédé le 21/02/1869 à Paris. Architecte diocésain. A œuvré à la restauration des cathédrales de Nîmes, Viviers.",,"Q19660093","https://fr.wikipedia.org/wiki/Eug%C3%A8ne-Jean-Baptiste-Gabriel_Laval",,
"agent/FRAN_RI_012-d699mu1rieg-4z1jy61r5nul","d699mu1rieg-4z1jy61r5nul","Person","Laval, Philippe Emmanuel de (15.. ?-1640)",,,,,,,,,
"agent/FRAN_RI_012-d699mu34dcu-fpwmaxgffwl","d699mu34dcu-fpwmaxgffwl","Person","Laval, Pierre (1883-1945)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3zqt8--1wkgc27sq7f3i","d699mu3zqt8--1wkgc27sq7f3i","Person","Laval, Urbain de (1557-1629)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0f23q-6ekfeuof6gww","d699mu0f23q-6ekfeuof6gww","Person","Laval-Bois-Dauphin, Urbain II de (16..-1661)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1fwui-19wa6d8ntu5tt","d699mu1fwui-19wa6d8ntu5tt","Person","La Vieuville, Charles de (1582 ?-1653)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5l3lq-3ejfy0rl3ea0","d699mu5l3lq-3ejfy0rl3ea0","Person","La Vieuville, Charles Emmanuel de (1656-....)",,,,,,,,,
"agent/FRAN_RI_012-d-5uqc89r6b6z-e7uv3pl0qf0e","d-5uqc89r6b6z-e7uv3pl0qf0e","Person","Lavoisier, Louis François Théodore",,,,,,,,,
"agent/FRAN_RI_012-d699mu12dki-1c2uaw0u0mp1g","d699mu12dki-1c2uaw0u0mp1g","Person","La Vrillière, Louis Phélypeaux de Saint-Florentin (1705-1777 , duc de)",,,,,,,,,
"agent/FRAN_RI_012-d-ahzrsslvo-o9fho7hqc7d","d-ahzrsslvo-o9fho7hqc7d","Person","Law, John (1671-1729)",,"1671-04-16","1729-03-21","Banquier","0000000110215441",,,,
"agent/FRAN_RI_012-d699mu6c0m3-18fs2nqdp2tzj","d699mu6c0m3-18fs2nqdp2tzj","Person","La Woestyne, Charles Ghislain Antoine François-de-Paule Armand de (1759-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1v4cb--1vyfkdvl2q0a8","d699mu1v4cb--1vyfkdvl2q0a8","Person","La Woestyne, François Maximilien de (....-1770 ?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3w78x-1u779buiwcfkb","d699mu3w78x-1u779buiwcfkb","Person","Lebas, Louis Hippolyte (1782-1867)","Le Bas, Louis Hippolyte (1782-1867)",,,,,,,,
"agent/FRAN_RI_012-d699mu4ft7g--1x2vuwyixsgkm","d699mu4ft7g--1x2vuwyixsgkm","Person","Le Bas de Montargis, Claude (1659-1741)",,,,,,,,,
"agent/FRAN_RI_012-d699mu6ll9u--1b46z358ygcpe","d699mu6ll9u--1b46z358ygcpe","Person","Lebranchu, Marylise (1947-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2187m--1knn2k1wzfxfq","d699mu2187m--1knn2k1wzfxfq","Person","Lebret, Louis-Joseph (1897-1966)","Lebret, Père (1897-1966)",,,,,,,"009295",
"agent/FRAN_RI_012-d699mu2j2s9--858jtngmvl4m","d699mu2j2s9--858jtngmvl4m","Person","Lebrun, Albert (1871-1950)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwit6i-1gqqjtqrppau","d-dv4qwit6i-1gqqjtqrppau","Person","Lebrun, François Martin (1749-1849)",,"1749-01-01","1849-09-12","Né en 1749 Décédé en 09/12/1849. Architecte. A œuvré à la restauration de la cathédrale de Montauban.",,"Q22572588","https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Martin_Lebrun",,
"agent/FRAN_RI_012-d699mu25ash-h2gyf406df1w","d699mu25ash-h2gyf406df1w","Person","Le Camus, Nicolas (16..-1712 ?)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5z2q7-1xzpkgi5uan2t","d699mu5z2q7-1xzpkgi5uan2t","Person","Le Camus de Mézières, Nicolas (1721-1789)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz3slb--r2cz0gvrwhsz","d699mtz3slb--r2cz0gvrwhsz","Person","Lecanuet, Jean (1920-1993)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzpg8j-2pyu7xv13s4j","d699mtzpg8j-2pyu7xv13s4j","Person","Lecat, Jean-Philippe (1935-2011)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1eqgi--yv4qz30trmb2","d699mu1eqgi--yv4qz30trmb2","Person","Le Clerc, Catherine (1630-1706)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3cqbc--91iuvbx2309v","d3m0bn3cqbc--91iuvbx2309v","Person","Le Clerc, Jean (15..-163.)",,,,,,,,,
"agent/FRAN_RI_012-d699mu244eh--175j8cadk5sib","d699mu244eh--175j8cadk5sib","Person","Leclerc, Sébastien (1676-1763)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4kfzo-f7bb2yepeuz6","d699mu4kfzo-f7bb2yepeuz6","Person","Leclerc de Juigné, Henri Anatole Christian (1845-1893)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzq8d4--xi48evm27bpf","d699mtzq8d4--xi48evm27bpf","Person","Le Clerc de Lesseville, Eustache (1614-1665)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2tkbr--mko51315cbbp","d699mu2tkbr--mko51315cbbp","Person","Le Clerc du Rozet, Catherine (1630-1706)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4rzr9-fk3ivp8w1eyo","d699mu4rzr9-fk3ivp8w1eyo","Person","Le Corbusier (1887-1965)","Jeanneret, Charles-Edouard (1887-1965)",,,,,,,,
"agent/FRAN_RI_012-d699mu6jfmj--1l9c0hi3nm6g4","d699mu6jfmj--1l9c0hi3nm6g4","Person","Lecourt d'Hauterive, Ernest Arthur Ferdinand (18..-19..)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzxokd-d18h2paq2m9v","d699mtzxokd-d18h2paq2m9v","Person","Ledoux, Claude-Nicolas (1736-1808)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwj2zl--k3xcphgy9a9g","d-dv4qwj2zl--k3xcphgy9a9g","Person","Ledru, Louis Charles (1778-1861)",,"1778-03-08","1861-09-16","Né le 03/08/1778 à Paris. Décédé le 16/09/1861 à Clermont-Ferrand. Architecte du département. A œuvré à la restauration des cathédrales de Clermont-Ferrand, Le Puy.",,"Q8327265","https://fr.wikipedia.org/wiki/Louis-Charles_Ledru",,"https://data.bnf.fr/ark:/12148/cb14961916m#about"
"agent/FRAN_RI_012-d699mu0uqmt--1c70hv19wvu74","d699mu0uqmt--1c70hv19wvu74","Person","Lefèvre, Ernestine Constance (1836-1909)",,,,,,,,,
"agent/FRAN_RI_012-d699mu36z8v--1bd6xn79ib78j","d699mu36z8v--1bd6xn79ib78j","Person","Lefèvre d'Ormesson, Henri François-de-Paule (1681-1756)",,,,,,,,,
"agent/FRAN_RI_012-d699mu310iz--1lap8nxshm9fz","d699mu310iz--1lap8nxshm9fz","Person","Lefèvre d'Ormesson, Henri François-de-Paule (1751-1807)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0coj7--ttknppdfw5k9","d699mu0coj7--ttknppdfw5k9","Person","Lefèvre de Caumartin, Jacques (....-1667)",,,,,,,,,
"agent/FRAN_RI_012-d699mu552sj-rr12f0iym88i","d699mu552sj-rr12f0iym88i","Person","Lefèvre de Caumartin, Louis Urbain (1653-1720)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4p16u-1ouk7tgr48oy9","d699mu4p16u-1ouk7tgr48oy9","Person","Lefranc, André Georges (....-1748)",,,,,,,,,
"agent/FRAN_RI_012-d-p21l8k9xdf--1c9j5p6c0s5hn","d-p21l8k9xdf--1c9j5p6c0s5hn","Person","Lefuel, Hector Martin (1810-1880)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzonpo--1o3b0dyf3v57b","d699mtzonpo--1o3b0dyf3v57b","Person","Le Garrec, Jean (1929-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwjbac-10evf5a6c2o65","d-dv4qwjbac-10evf5a6c2o65","Person","Legendre, Alfred Mathurin Gustave (1838-....)",,"1838-06-17",,"Né le 17/06/1838 à Nantes. Inspecteur des travaux des édifices diocésains. A œuvré à la restauration de la cathédrale de Nantes.",,"Q21559150",,,
"agent/FRAN_RI_012-d699mu19ntt--194jab4o4eu5n","d699mu19ntt--194jab4o4eu5n","Person","Legendre, Jacques (1941-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1qa14-1tpd09paflvmg","d699mu1qa14-1tpd09paflvmg","Person","Le Gendre de Lormoy, Léon François (175.-1812)",,,,,,,,,
"agent/FRAN_RI_012-d-2s8uim39zjs-1s0n2kxihjstg","d-2s8uim39zjs-1s0n2kxihjstg","Person","Legendre de Luçay, Jean-Baptiste Charles (1756-1834 ; comte de)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwjhbn--1gwglsqlboah1","d-dv4qwjhbn--1gwglsqlboah1","Person","Legrand, Henri Gaston (1814-1905)",,"1814-11-25","1905-05-23","Né le 25/11/1814 à Saint-Just-des-Marais. Décédé le 23/05/1905. Inspecteur des édifices diocésains. A œuvré à la restauration de la cathédrale de Cambrai.",,,,,
"agent/FRAN_RI_012-d699mu1j3c6--mk2jmfus8ozf","d699mu1j3c6--mk2jmfus8ozf","Person","Le Gras, Antoine (15..-1625)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz2yhf--k56gg1lho9zw","d699mtz2yhf--k56gg1lho9zw","Person","Legras du Luart, Roland Marie (1781-1868)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzkjjs--nxtkfdi1kwj","d699mtzkjjs--nxtkfdi1kwj","Person","Le Gros, Pierre (16..-1729)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qwjncx--dhp8a6v4vuiz","d-dv4qwjncx--dhp8a6v4vuiz","Person","Lejeune, Auguste (1801-1852)",,"1801-04-10","1852-01-01","Né le 04/10/1801 à Rouen. Décédé en 1852. Architecte diocésain. A œuvré à la restauration de la cathédrale de Carcassonne.",,"Q21568942",,,
"agent/FRAN_RI_012-d3m0bn3oemr-zs6t10wlbno","d3m0bn3oemr-zs6t10wlbno","Person","Le Loyer, Jean (16..-1688)",,,,,,,,,
"agent/FRAN_RI_012-d-4lmisqomwu9--1bv0tngzc4qq","d-4lmisqomwu9--1bv0tngzc4qq","Person","Lemaistre, Agnès",,,,,,,,,
"agent/FRAN_RI_012-d699mu3p1qr--2b1nc0xyg6iy","d699mu3p1qr--2b1nc0xyg6iy","Person","Lemoine, Georges (1934-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2t1pg-9tdsimf0ic80","d699mu2t1pg-9tdsimf0ic80","Person","Lemoine, Marie Geneviève Louis (....-1837)",,,,,,,,,
"agent/FRAN_RI_012-d-73frm777m--1expwtmqyw90s","d-73frm777m--1expwtmqyw90s","Person","Lemoyne, André (1822-1907)",,"1822-01-01","1907-01-01","poète",,,,,
