"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Type de lieu (rico:hasOrHadPlaceType)","Description (rico:descriptiveNote)","Nom et id du lieu dans lequel le lieu-dit est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"place/FRAN_RI_005-d3m08zazhda--tj1cx10atom5","d3m08zazhda--tj1cx10atom5","La Chapelle-d'Angillon (Cher, château de)",,"aménagement ou construction",,"Cher (Centre, département) [d3ntb7g2gw--4rv27gfdzgqg]",,
"place/FRAN_RI_005-d3m08zgspsg--8txfk2vgusw2","d3m08zgspsg--8txfk2vgusw2","La Chapelle-Faucher (Dordogne, château de)",,"aménagement ou construction",,"Dordogne (Aquitaine, département) [d3ntb7l0b0--1uwhs5qpi6ngo]",,
"place/FRAN_RI_005-d3m08z9jhy7-1et27dyz58gkp","d3m08z9jhy7-1et27dyz58gkp","La Ferté-Vidame (Eure-et-Loir, château de)",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d-22dgzndfj--1tmspgr6dbzx6","d-22dgzndfj--1tmspgr6dbzx6","La Foux d'Allos (Allos ; station de ski)",,"station de ski",,"Allos (Alpes-de-Haute-Provence) [d3ntd7l2py--12xexlgbk9q1t]","http://www.wikidata.org/entity/Q3209203 | https://sws.geonames.org/7627007/",
"place/FRAN_RI_005-d3m08zd2lhx--16alamq0z692h","d3m08zd2lhx--16alamq0z692h","Lagrasse (Aude, abbaye de)",,"aménagement ou construction",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]",,
"place/FRAN_RI_005-d-1g85e5aoc-nckuj4820h1a","d-1g85e5aoc-nckuj4820h1a","La Hague, phare de (La Hague ; phare)",,"phare","Le phare de La Hague, ou phare de Goury, s'élève à 800 mètres au large du cap de La Hague (Manche), sur le rocher dit « le Gros du Raz ». (Source :https://fr.wikipedia.org/wiki/Phare_de_La_Hague )","Beaumont-Hague (Manche) [d3ntkfdzqp-1x2z5y9xmk402]","http://www.wikidata.org/entity/Q3378476","07/05/2020 : Lieu ajouté le [07/05/2020]"
"place/FRAN_RI_005-d-8tat0sfou--1bfl9z4zs03he","d-8tat0sfou--1bfl9z4zs03he","La Mongie (Hautes-Pyrénées ; station de ski)",,"station de ski","La Mongie est une station de sports d'hiver des Pyrénées françaises. Elle est située dans le département des Hautes-Pyrénées en région Occitanie. Elle fait partie du Domaine du Tourmalet, lui-même situé sur les communes de Campan, Bagnères-de-Bigorre, Barèges, Sers et Betpouey. Située au pied du Pic du Midi de Bigorre, cet ensemble offre le plus vaste domaine skiable de la chaîne pyrénéenne côté français.(Source : https://fr.wikipedia.org/wiki/La_Mongie)","Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","http://www.wikidata.org/entity/Q356665 | https://sws.geonames.org/6695418/","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m0901dkof-42ubkxsg8cpv","d3m0901dkof-42ubkxsg8cpv","La Motte-Tilly (Aube, château de)",,"aménagement ou construction",,"Aube (Champagne-Ardenne, département) [d3ntb7616w-1ulrt8mz7jar1]",,
"place/FRAN_RI_005-d-b9zkmf1by-1bpf3jai67j3a","d-b9zkmf1by-1bpf3jai67j3a","Lanau, barrage de (Neuvéglise ; barrage)",,"barrage",,"Neuvéglise (Cantal) [d3ntehcvm9-mgbqveql493f]","http://www.wikidata.org/entity/Q19378781",
"place/FRAN_RI_005-d-8d3edwuny-2bt9szu7p6k3","d-8d3edwuny-2bt9szu7p6k3","La Salette, sanctuaire du (La Salette-Fallavaux ; sanctuaire)",,"sanctuaire","Le sanctuaire marial de La Salette (ou sanctuaire de La Salette) est le nom du sanctuaire catholique construit sur le lieu de l'apparition mariale de La Salette en 1846. Cette apparition mariale, officiellement reconnue comme authentique par l'évêque du lieu en 1851 et 1855, entraîne la construction d'une église en haut du village de La Salette-Fallavaux, près de Corps. (Source : https://fr.wikipedia.org/wiki/Sanctuaire_marial_de_La_Salette )","La Salette-Fallavaux (Isère) [d3ntibw34l-1sex6n9jhgm3n]","http://www.wikidata.org/entity/Q60365436 | https://sws.geonames.org/3006546/","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d3m08yw161j--bhydgx94r4ha","d3m08yw161j--bhydgx94r4ha","Lavardin (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08z4gb7w-1c3o7k5qpr0vg","d3m08z4gb7w-1c3o7k5qpr0vg","Le Bec-Hellouin (Eure, abbaye)",,"aménagement ou construction",,"Eure (Haute-Normandie, département) [d3ntb7o8hq-1b5fuvt2evll9]",,
"place/FRAN_RI_005-d-8uksr3ave-n6mksqmqjrz1","d-8uksr3ave-n6mksqmqjrz1","Le Markstein (Haut-Rhin ; station de ski)",,"station de ski","Le Markstein est une station de sport d'hiver, d'été et de détente (luge d'été et parapente) française, située dans le massif des Vosges, comprise entre 1 040 et 1 265 m d'altitude sur le passage de la route des Crêtes. (Source : https://fr.wikipedia.org/wiki/Le_Markstein)","Haut-Rhin (Alsace, département) [d3ntb7td0f--uft1tt83hfgx]","http://www.wikidata.org/entity/Q2603685 | https://sws.geonames.org/9883843/","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08zdh2fq-ska9t4x97hra","d3m08zdh2fq-ska9t4x97hra","Le Perreux-sur-Marne (Val-de-Marne, château)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d-8vodude4s-18dq7i8vdkt6s","d-8vodude4s-18dq7i8vdkt6s","Les Deux Alpes (Isère ; station de ski)",,"station de ski","Les Deux Alpes est une station de sports d'hiver française située en Oisans, dans le massif des Écrins. (Source : https://fr.wikipedia.org/wiki/Les_Deux_Alpes)","Isère (Rhône-Alpes, département) [d3ntb7zns3-w0k2gr4p0iqu]","http://www.wikidata.org/entity/Q974478 | https://sws.geonames.org/6354942/","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d3m08zkmlke-18m39trbqw48o","d3m08zkmlke-18m39trbqw48o","Les Essarts (Vendée, château)",,"aménagement ou construction",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]",,
"place/FRAN_RI_005-d3m08zm4cdb-mba5r0nu7he4","d3m08zm4cdb-mba5r0nu7he4","Lésigny (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zz3ytj-bwt70f8b0dr","d3m08zz3ytj-bwt70f8b0dr","Les Mesnuls (Yvelines, château)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08z4c3w0--3whipit9notm","d3m08z4c3w0--3whipit9notm","Lévis (Allier, château de)",,"aménagement ou construction",,"Allier (Auvergne, département) [d3ntb713cs-uv28hws58a4c]",,
"place/FRAN_RI_005-d3m08yjlfu0--1s2worqnry0yi","d3m08yjlfu0--1s2worqnry0yi","Livry-Gargan (Seine-Saint-Denis, abbaye de)",,"aménagement ou construction",,"Seine-Saint-Denis (Ile-de-France, département) [d3ntb8t74v--1wxzypxi8r7lm]",,
"place/FRAN_RI_005-d3m08zsnlot--gej6tirkpbcx","d3m08zsnlot--gej6tirkpbcx","Loches (Indre-et-Loire, château de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d-5mg8kpw69-1ak1dfpg5mk3r","d-5mg8kpw69-1ak1dfpg5mk3r","Madeleine, pont de la (Faycelles ; pont)",,"pont","Pont sur le Lot à Faycelles","Faycelles (Lot) [d3ntj62lh6--1tnnap28ujdpz]",,
"place/FRAN_RI_005-d3m08z0y4y4--zfms9awj3l2y","d3m08z0y4y4--zfms9awj3l2y","Madrid (Hauts-de-Seine, château de)","Boulogne (Hauts-de-Seine , château de)","aménagement ou construction",,"Hauts-de-Seine (Ile-de-France, département) [d3ntb7xgvv-17sbqf1hi4qgj]",,
"place/FRAN_RI_005-d3m08zbyji9-1m8l2e5vle7d","d3m08zbyji9-1m8l2e5vle7d","Magnanville (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08yw1jwo-1sfujbljhjjz7","d3m08yw1jwo-1sfujbljhjjz7","Maintenon (Eure-et-Loir, château de)",,"aménagement ou construction",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]",,
"place/FRAN_RI_005-d3m08zxsvot-169jsnlf6vj5n","d3m08zxsvot-169jsnlf6vj5n","Maisons-Laffitte (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d5bdp3mcpn--p5uwlrbzf45d","d5bdp3mcpn--p5uwlrbzf45d","Majdanek (Pologne, camp)",,"aménagement ou construction",,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08yzdl4j--75qmch798y93","d3m08yzdl4j--75qmch798y93","Malesherbes (Loiret, château de)",,"aménagement ou construction",,"Loiret (Centre, département) [d3ntb85kbl-a9i9f62vvrla]",,
"place/FRAN_RI_005-d3m08yo4f8b--dloul66kbwh4","d3m08yo4f8b--dloul66kbwh4","Malmaison (Hauts-de-Seine, château de)",,"aménagement ou construction",,"Hauts-de-Seine (Ile-de-France, département) [d3ntb7xgvv-17sbqf1hi4qgj]",,
"place/FRAN_RI_005-d5bdp0v9mt--s91oubkn9vky","d5bdp0v9mt--s91oubkn9vky","Malpasset (barrage)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d5bdpin6h7--1vafq7udh8tp2","d5bdpin6h7--1vafq7udh8tp2","Manche (tunnel)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d-1g85e4jd0-1ordw31ya424v","d-1g85e4jd0-1ordw31ya424v","Marais, château du (Val-Saint-Germain ; château)",,"château","Le château du Marais est un château français situé dans la commune du Val-Saint-Germain. Construit par l'architecte Jean-Benoît-Vincent Barré pour Jean Le Maître de La Martinière, trésorier général de l'Artillerie et du Génie, il est considéré comme l'un des plus remarquables exemples de château de style Louis XVI en région parisienne. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_du_Marais)","Le Val-Saint-Germain (Essonne) [d3ntxe4zcd--1n0cspndo8dzq]","http://www.wikidata.org/entity/Q2971734","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08z7nnoe--j5o1bwweorkc","d3m08z7nnoe--j5o1bwweorkc","Marchais (Aisne, château de)",,"aménagement ou construction",,"Aisne (Picardie, département) [d3ntb70r2g--1uw0k9ewfsj4r]",,
"place/FRAN_RI_005-d3m08ypstpe--1uhulu9g6hwts","d3m08ypstpe--1uhulu9g6hwts","Margaux (Gironde, château de)",,"aménagement ou construction",,"Gironde (Aquitaine, département) [d3ntb7rwey-p9op5y5cz1c6]",,
"place/FRAN_RI_005-d3m08zgext4--1nmbgr1eo5bod","d3m08zgext4--1nmbgr1eo5bod","Marly (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08z1hraa-vm7qze8bd1ik","d3m08z1hraa-vm7qze8bd1ik","Marmoutier (Indre-et-Loire, abbaye de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d-3by4ylh0u--1h9x7j41t8ds","d-3by4ylh0u--1h9x7j41t8ds","Marne au Rhin, canal de la (Grand Est ; canal)",,"canal","Le canal de la Marne au Rhin, long de 314 km et 178 écluses à l'origine, relie la Marne (à Vitry-le-François) au Rhin (à Strasbourg). (Source : https://fr.wikipedia.org/wiki/Canal_de_la_Marne_au_Rhin)",,"http://www.wikidata.org/entity/Q1032612",
"place/FRAN_RI_005-d-1g85e4c9g-zr1dgw7wqmw4","d-1g85e4c9g-zr1dgw7wqmw4","Marseille, canal de (Provence-Alpes-Côte d’Azur ; canal)",,"canal","Le canal de Marseille est la principale source d'approvisionnement en eau potable de la ville de Marseille. Il a été construit au milieu du XIXe siècle en une quinzaine d'années sous la direction de l'ingénieur Franz Mayor de Montricher, amenant les eaux de la Durance dans la ville depuis le 8 juillet 1849. (Source : https://fr.wikipedia.org/wiki/Canal_de_Marseille)",,"http://www.wikidata.org/entity/Q1032573 | https://sws.geonames.org/2995467/","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-b80paf5qn--jkhzg0vzo6nv","d-b80paf5qn--jkhzg0vzo6nv","Marseille au Rhône, canal de (Bouches-du-Rhône ; canal)",,"canal","Le canal de Marseille au Rhône est un canal maritime reliant Marseille à Martigues (Bouches-du-Rhône). (Source : https://fr.wikipedia.org/wiki/Canal_de_Marseille_au_Rh%C3%B4ne)","Bouches-du-Rhône (Provence-Alpes-Côte-d'Azur, département) [d3ntb7dejn-1aou0oes1xewr]","http://www.wikidata.org/entity/Q2936013",
"place/FRAN_RI_005-d3m08z54esg--jqshosu8zdx4","d3m08z54esg--jqshosu8zdx4","Maubuisson (Val-d'Oise, abbaye de)",,"aménagement ou construction",,"Val-d'Oise (Ile-de-France, département) [d3ntb8ynxv--18mkd7r455huc]",,
"place/FRAN_RI_005-d5bdp4zo9y-433elcku5pnz","d5bdp4zo9y-433elcku5pnz","Mauthausen (Autriche, camp)",,"aménagement ou construction",,"Autriche [d3ntxk0ks9-1dn4hde9xnd6e]",,
"place/FRAN_RI_005-d5bdpaticd--p8dvp93nimsg","d5bdpaticd--p8dvp93nimsg","Mauzac (Dordogne, camp)",,"aménagement ou construction",,"Dordogne (Aquitaine, département) [d3ntb7l0b0--1uwhs5qpi6ngo]",,
"place/FRAN_RI_005-d3m08za39fs--3ngfer94zom8","d3m08za39fs--3ngfer94zom8","Menars (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d-3o7gm6enx--p48dsyf2czv2","d-3o7gm6enx--p48dsyf2czv2","Mengant, fort du (Plouzané ; fortification)",,"fortification","Le fort du Mengant (écrit aussi Mingant) ou fort du Léon est situé sur la commune de Plouzané (Bretagne, France) et fait partie du dispositif de défense du goulet de Brest. (Source : https://fr.wikipedia.org/wiki/Fort_du_Mengant )","Plouzané (Finistère) [d3ntgt2cw9--yuu26dkain3x]","http://www.wikidata.org/entity/Q3078355","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08z3qfv8--wg2w98dgy0o6","d3m08z3qfv8--wg2w98dgy0o6","Mesnil-Voisin (Essonne, château de)",,"aménagement ou construction",,"Essonne (Ile-de-France, département) [d3ntb7nvrw--x5v56woc2tqj]",,
"place/FRAN_RI_005-d-70h1ir3h8--2xls20xdv7px","d-70h1ir3h8--2xls20xdv7px","Métabief (Doubs ; station de ski)",,"station de ski","Métabief est une station de montagne française du Haut-Doubs, située en partie sur la commune de Métabief. Les autres principales communes de la station sont Jougne, Les Hôpitaux-Neufs, Les Hôpitaux-Vieux, Les Longevilles Mont d'Or et Rochejean. Elle connaît une activité tant en hiver (ski alpin, ski de fond, raquettes de neige, etc.) qu'en été (randonnée, VTT, VTT de descente, luge d'été...).(Source : https://fr.wikipedia.org/wiki/Mont_d%27Or_(Doubs) )","Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","http://www.wikidata.org/entity/Q16665845","14/08/2020 : Lieu ajouté le [14/08/2020]"
"place/FRAN_RI_005-d3m08zl8te9-13inpq9gdf43s","d3m08zl8te9-13inpq9gdf43s","Meudon (Hauts-de-Seine, château de)",,"aménagement ou construction",,"Hauts-de-Seine (Ile-de-France, département) [d3ntb7xgvv-17sbqf1hi4qgj]",,
"place/FRAN_RI_005-d-84v9ewrbl-jr6ptusfzxes","d-84v9ewrbl-jr6ptusfzxes","Midi, canal du (France ; 1681-....)",,"canal","Le canal du Midi est un canal français qui relie Toulouse à la mer Méditerranée. Ouvrage construit de 1667 à 1681, selon le projet de Pierre-Paul Riquier, d'une longueur de 241 km, ce canal relie Marseillan (Hérault) à Toulouse. Il est inauguré en 1681. (Source : https://fr.wikipedia.org/wiki/Canal_du_Midi)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q202494)",
"place/FRAN_RI_005-d-8h1kqdj4a--rhniyieps3mb","d-8h1kqdj4a--rhniyieps3mb","Mirabeau, pont de (Provence-Alpes-Côte d'Azur ; pont)",,"pont","Le pont de Mirabeau est un pont-route français entre Vaucluse et Bouches-du-Rhône, par lequel la route d'Aix-en-Provence à Manosque traverse la Durance. Les piles d'un ancien pont suspendu datant de 1845, conservées, sont inscrites aux monuments historiques. (Source : https://fr.wikipedia.org/wiki/Pont_de_Mirabeau )",,"http://www.wikidata.org/entity/Q3397056","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d5bdpf1gdq-1h7o6oev51tgh","d5bdpf1gdq-1h7o6oev51tgh","Mittelgladbach (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-3pjcsy658--1ikovhyytfq5z","d-3pjcsy658--1ikovhyytfq5z","Moguériec (Sibiril ; port)",,"port","Moguériec est un petit port de pêche de 400 habitants situé sur la côte du Léon (nord finistère) dans la commune de Sibiril. Le port se situe dans le fond de la baie de l'Île de Sieck à 4 miles au sud-ouest de l'entrée du chenal de l'île-de-Batz. (Source : https://fr.wikipedia.org/wiki/Mogu%C3%A9riec)","Sibiril (Finistère) [d3ntgtrpsg--4xpz8d4fx83f]","http://www.wikidata.org/entity/Q3318263","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yzrfhg--g2scfklykqzg","d3m08yzrfhg--g2scfklykqzg","Molesme (Côte-d'Or, abbaye de)",,"aménagement ou construction",,"Côte-d'Or (Bourgogne, département) [d3ntb7heyx--g2riisb6ka8j]",,
"place/FRAN_RI_005-d5bdpmiwrw--xvut4oms1wm6","d5bdpmiwrw--xvut4oms1wm6","Mont-Blanc (tunnel)",,"aménagement ou construction",,,,
"place/FRAN_RI_005-d3m08zhfb37-tswwtbqy78lm","d3m08zhfb37-tswwtbqy78lm","Montceaux-lès-Meaux (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zgwewb-190tywzjung11","d3m08zgwewb-190tywzjung11","Montiéramey (Aube, abbaye de)",,"aménagement ou construction",,"Aube (Champagne-Ardenne, département) [d3ntb7616w-1ulrt8mz7jar1]",,
"place/FRAN_RI_005-d3m08zmcu75--djetnvcz3lvk","d3m08zmcu75--djetnvcz3lvk","Montier-la-Celle (Aube, abbaye de)",,"aménagement ou construction",,"Aube (Champagne-Ardenne, département) [d3ntb7616w-1ulrt8mz7jar1]",,
"place/FRAN_RI_005-d-1g85e4sgs--1e4vd8tg3a7ku","d-1g85e4sgs--1e4vd8tg3a7ku","Montmajour, abbaye de (Arles ; abbaye)",,"abbaye","L'abbaye Saint-Pierre de Montmajour est une abbaye bénédictine fondée en 9481 à environ quatre kilomètres au nord-est du centre historique d'Arles dans le département des Bouches-du-Rhône (France). (Source : https://fr.wikipedia.org/wiki/Abbaye_de_Montmajour )","Arles (Bouches-du-Rhône) [d3nte3aba9--1a6jyiejqd237]","http://www.wikidata.org/entity/Q334060","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08zbu496-lx7fexq3emad","d3m08zbu496-lx7fexq3emad","Montrichard (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d-3qmpbzcmc--hs7xmwzw1wl4","d-3qmpbzcmc--hs7xmwzw1wl4","Mont-Roland, sanctuaire du (Jouhe ; sanctuaire)",,"sanctuaire","Le sanctuaire Notre-Dame de Mont-Roland est un haut-lieu de pèlerinage marial remontant au XIe siècle, situé sur la colline dite « Mont-Roland », à Jouhe dans le département du Jura. (Source : https://fr.wikipedia.org/wiki/Sanctuaire_Notre-Dame_de_Mont-Roland)","Jouhe (Jura) [d3ntifkq79--1l4rw85z6exar]","http://www.wikidata.org/entity/Q15958312","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08zwf3wa-1v2ax9fahmjs7","d3m08zwf3wa-1v2ax9fahmjs7","Mont-Saint-Martin (Aisne, abbaye de)",,"aménagement ou construction",,"Aisne (Picardie, département) [d3ntb70r2g--1uw0k9ewfsj4r]",,
"place/FRAN_RI_005-d3m08zg3swj-1ud6wqawh5l1","d3m08zg3swj-1ud6wqawh5l1","Mont-Saint-Quentin (Somme, abbaye du)",,"aménagement ou construction",,"Somme (Picardie, département) [d3ntb8u6x2-iq75f6vdwu0a]",,
"place/FRAN_RI_005-d-1g85e46mo--q6k7icxtlcnz","d-1g85e46mo--q6k7icxtlcnz","Monument de la Cote 304 (Esnes-en-Argonne ; monument commémoratif)",,"monument commémoratif","Le monument de la Cote 304 est un monument commémoratif de la Première Guerre mondiale, situé sur le territoire de la commune d'Esnes-en-Argonne, dans le département de la Meuse. Ce monument de la cote 304 a été dessiné par Albert Lange et construit par souscription nationale sur son initiative. (Source : https://fr.wikipedia.org/wiki/Monument_de_la_cote_304)","Esnes-en-Argonne (Meuse) [d3ntlcckir-ffrga2l60jwn]","http://www.wikidata.org/entity/Q55598657","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08yixyuc-1sjlb6eu3uag3","d3m08yixyuc-1sjlb6eu3uag3","Mothe-Chandenier (Vienne, château de)",,"aménagement ou construction",,"Vienne (Poitou-Charentes, département) [d3ntb909xd-94mt6ylrfluo]",,
"place/FRAN_RI_005-d3m08zs2yic-j7jbrdhu7ez9","d3m08zs2yic-j7jbrdhu7ez9","Muette (Yvelines, château de la)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m08zn2sbn-ofk7nikzyon4","d3m08zn2sbn-ofk7nikzyon4","Nangis (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-b0wn9nmj2--gpajglz8jsfm","d-b0wn9nmj2--gpajglz8jsfm","Nantes à Brest, canal de (France ; canal)",,"canal","Le canal de Nantes à Brest est un canal à petit gabarit qui relie les villes de Nantes et de Brest et emprunte les vallées de l'Erdre, de l’Isac, de l’Oust, du Blavet, du Doré, du Kergoat, de l’Hyères et de l’Aulne. (Source : https://fr.wikipedia.org/wiki/Canal_de_Nantes_%C3%A0_Brest)","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q1032581",
"place/FRAN_RI_005-d5bdp8n6tp--em0zo7jq8elj","d5bdp8n6tp--em0zo7jq8elj","Natzweiler-Struthof (Bas-Rhin, camp)",,"aménagement ou construction",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]",,
"place/FRAN_RI_005-d3m08zp9sal--19xoidfgnn1e5","d3m08zp9sal--19xoidfgnn1e5","Nemours (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d5bdpow9cy--vav6yfcgkfnc","d5bdpow9cy--vav6yfcgkfnc","Neuengamme (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-kq69jkjv--1sy4q2jdeg5h9","d-kq69jkjv--1sy4q2jdeg5h9","Noirlac, abbaye de (Bruère-Allichamps ; abbaye)",,"abbaye","Abbaye cistercienne fondée en 1136 et située à Bruère-Allichamps (Source : Wikipédia : https://fr.wikipedia.org/wiki/Abbaye_de_Noirlac)","Bruère-Allichamps (Cher) [d3ntet4q7o--bbsrone8ha97]","http://www.wikidata.org/entity/Q776244 | https://sws.geonames.org/11101611/",
"place/FRAN_RI_005-d3m08zvf6gn-e6xvt21dtkkp","d3m08zvf6gn-e6xvt21dtkkp","Noisy-le-Roi (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d-9txivn8vs--1ta31zppg8cxc","d-9txivn8vs--1ta31zppg8cxc","Nord, canal du (France ; canal)",,"aménagement ou construction","Le canal du Nord est un canal de jonction reliant la vallée de l'Oise au canal Dunkerque-Escaut. (Source : https://fr.wikipedia.org/wiki/Canal_du_Nord_(France))","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q838591",
"place/FRAN_RI_005-d-50vs8o4q4--btrwa9zxu6bg","d-50vs8o4q4--btrwa9zxu6bg","Notre-Dame de Bon-Repos, abbaye (Saint-Gelven ; abbaye)",,"abbaye","L'abbaye Notre-Dame de Bon-Repos est située sur la commune de Saint-Gelven (Source : Wikipédia : https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_de_Bon-Repos) | GeoNames: http://www.geonames.org/6620605","Saint-Gelven (Côtes-d'Armor) [d3ntfufmtj--k6nmzqlv6uli]","http://www.wikidata.org/entity/Q1775059",
"place/FRAN_RI_005-d-5c65mswy8--tixfw2zaudau","d-5c65mswy8--tixfw2zaudau","Notre-Dame de Boquen, abbaye (Plénée-Jugon ; abbaye)",,"abbaye","L'abbaye Notre-Dame de Boquen est une ancienne abbaye cistercienne située à l'orée de la forêt de Plénée-Jugon (Côtes-d'Armor) (Source : https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_de_Boquen)","Plénée-Jugon (Côtes-d'Armor) [d3ntft9rue--q8worvbakw5d]","http://www.wikidata.org/entity/Q1775065",
"place/FRAN_RI_005-d-1g85e49sk--u4gnruuxm7td","d-1g85e49sk--u4gnruuxm7td","Notre-Dame-de-Lorette (Ablain-Saint-Nazaire ; cimetière militaire)",,"aménagement ou construction","Notre-Dame-de-Lorette est un cimetière militaire et mémorial français situé sur la colline éponyme, à 165 mètres d'altitude, sur le territoire de la commune d'Ablain-Saint-Nazaire près de Lens, dans le département du Pas-de-Calais. Inaugurée en 1925, elle commémore les milliers de combattants morts sur un des champs de bataille les plus disputés de la Première Guerre mondiale entre octobre 1914 et septembre 1915. (Source : https://fr.wikipedia.org/wiki/N%C3%A9cropole_nationale_de_Notre-Dame-de-Lorette)","Ablain-Saint-Nazaire (Pas-de-Calais) [d3ntp5r7ee--ubwe77wn37ed]","http://www.wikidata.org/entity/Q2972644","27/04/2020 : Lieu ajouté le [27/04/2020]"
